City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Zaysan,KZ,2022-04-26 16:02:36,47.4667,84.8667,44.89,50,9,8.23
114,Sioux Lookout,CA,2022-04-26 16:02:36,50.1001,-91.917,21.83,72,100,7.96
115,Talnakh,RU,2022-04-26 16:02:37,69.4865,88.3972,5.47,97,90,5.86
116,Edd,ER,2022-04-26 16:02:37,13.9297,41.6925,87.8,60,80,8.01
117,Puerto Penasco,MX,2022-04-26 16:02:38,31.3167,-113.5333,70.92,59,97,8.01
118,Ribeira Grande,PT,2022-04-26 16:02:38,38.5167,-28.7,64.8,77,20,14.97
119,Qaanaaq,GL,2022-04-26 16:02:38,77.484,-69.3632,16.27,72,23,5.08
120,Gwadar,PK,2022-04-26 16:02:39,25.1216,62.3254,83.12,75,0,12.37
121,Tasiilaq,GL,2022-04-26 16:02:39,65.6145,-37.6368,41.16,88,80,2.55
122,Nome,US,2022-04-26 16:02:39,64.5011,-165.4064,26.17,94,9,3.67
123,Avarua,CK,2022-04-26 16:02:40,-21.2078,-159.775,77.05,100,75,5.75
124,Serebryanyy Bor,RU,2022-04-26 16:02:40,56.8,124.8,18.7,97,99,3.02
125,Hualmay,PE,2022-04-26 16:02:41,-11.0964,-77.6139,71.78,75,27,9.31
126,Bengkulu,ID,2022-04-26 16:02:00,-3.8004,102.2655,78.67,87,96,4.32
127,Vostok,RU,2022-04-26 16:02:41,46.4856,135.8833,37.67,96,100,4.0
128,Karratha,AU,2022-04-26 16:00:53,-20.7377,116.8463,80.94,54,100,10.6
129,Hasaki,JP,2022-04-26 16:02:42,35.7333,140.8333,75.29,88,100,35.84
130,Puro,PH,2022-04-26 16:02:42,12.4841,123.3827,81.23,84,93,9.93
131,Ugoofaaru,MV,2022-04-26 16:02:43,5.6667,73.0,85.32,67,91,1.95
132,Bathsheba,BB,2022-04-26 16:02:43,13.2167,-59.5167,82.17,74,100,11.45
133,Zyryanka,RU,2022-04-26 16:02:43,65.75,150.85,16.21,95,100,16.28
134,Mackay,AU,2022-04-26 16:00:26,-21.15,149.2,73.69,82,100,14.43
135,Constitucion,CL,2022-04-26 16:02:44,-35.3333,-72.4167,54.0,95,100,11.99
136,Kapoeta,SS,2022-04-26 16:02:44,4.7717,33.5903,85.51,48,99,9.71
137,Kaitangata,NZ,2022-04-26 16:02:55,-46.2817,169.8464,51.64,90,100,10.27
138,Hovd,MN,2022-04-26 16:02:56,48.0056,91.6419,41.29,31,99,1.5
139,Terekli-Mekteb,RU,2022-04-26 16:02:56,44.1671,45.8698,67.42,43,3,16.11
140,Ayagoz,KZ,2022-04-26 16:02:57,47.9714,80.4392,46.63,35,14,4.18
141,Longyearbyen,SJ,2022-04-26 16:02:58,78.2186,15.6401,1.24,66,40,10.36
142,Kudahuvadhoo,MV,2022-04-26 16:02:58,2.6708,72.8944,84.87,71,8,4.92
143,Ancud,CL,2022-04-26 16:02:59,-41.8697,-73.8203,45.23,66,79,14.63
144,Pravia,ES,2022-04-26 16:02:59,43.4906,-6.1508,56.07,100,75,5.75
145,Tupaciguara,BR,2022-04-26 16:02:59,-18.5922,-48.705,84.52,38,0,8.97
146,Haines Junction,CA,2022-04-26 16:03:00,60.7522,-137.5108,36.25,83,100,3.71
147,Port Hedland,AU,2022-04-26 16:03:00,-20.3167,118.5667,80.65,74,98,6.91
148,Roros,NO,2022-04-26 16:03:01,62.5747,11.3842,31.84,69,75,17.27
149,Kargasok,RU,2022-04-26 16:03:01,59.0556,80.8572,38.05,99,100,4.0
150,Hobro,DK,2022-04-26 16:03:02,56.6431,9.7903,54.61,67,59,4.12
151,Solnechnyy,RU,2022-04-26 16:03:02,50.7214,136.6319,27.97,97,100,6.91
152,Waingapu,ID,2022-04-26 16:03:03,-9.6567,120.2641,76.55,73,99,3.8
153,Esna,EG,2022-04-26 16:03:03,25.2934,32.554,94.68,9,42,2.64
154,Severo-Kurilsk,RU,2022-04-26 16:03:03,50.6789,156.125,30.97,85,58,11.81
155,Pevek,RU,2022-04-26 16:03:04,69.7008,170.3133,18.48,74,100,6.29
156,Port Elizabeth,ZA,2022-04-26 15:58:34,-33.918,25.5701,64.31,78,20,21.85
157,Saint George,US,2022-04-26 16:03:05,37.1041,-113.5841,69.44,21,0,3.44
158,Aswan,EG,2022-04-26 16:03:05,24.0934,32.907,95.32,9,2,11.01
159,Oranjestad,AW,2022-04-26 16:00:01,12.524,-70.027,78.85,83,95,16.78
160,Vila Velha,BR,2022-04-26 16:02:04,-20.3297,-40.2925,82.94,76,25,8.03
161,Jammalamadugu,IN,2022-04-26 16:03:06,14.8333,78.4,93.45,36,19,15.19
162,Cabo San Lucas,MX,2022-04-26 16:03:06,22.8909,-109.9124,83.61,62,0,2.57
