City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Ayan,RU,56.45,138.1667,35.76,77,4,9.13,clear sky
141,Cidreira,BR,-30.1811,-50.2056,63.23,73,0,6.87,clear sky
142,Youghal,IE,51.95,-7.8506,53.1,100,100,4.34,overcast clouds
143,Faanui,PF,-16.4833,-151.75,81.3,75,4,6.85,light rain
144,Flinders,AU,-34.5833,150.8552,55.18,66,0,10.0,clear sky
145,Patti,IN,31.2808,74.8572,86.16,18,0,1.45,clear sky
146,Caconda,AO,-13.7333,15.0667,60.04,62,47,3.11,scattered clouds
147,Aswan,EG,24.0934,32.907,81.7,9,0,9.22,clear sky
148,Cordoba,AR,-31.4135,-64.1811,77.85,41,0,16.11,clear sky
149,Broome,US,42.2506,-75.833,58.66,39,0,10.36,clear sky
150,Mitsamiouli,KM,-11.3847,43.2844,81.07,78,18,4.79,few clouds
151,Mariestad,SE,58.7097,13.8237,46.51,78,50,6.35,scattered clouds
152,Saint-Philippe,RE,-21.3585,55.7679,72.99,83,31,11.48,light rain
153,Saint Anthony,US,45.0205,-93.218,74.71,27,0,24.16,clear sky
154,Yuncheng,CN,35.0231,110.9928,52.66,68,4,6.24,clear sky
155,Caraguatay,AR,-26.6059,-54.7809,64.09,64,75,2.21,broken clouds
156,Sept-Iles,CA,50.2001,-66.3821,42.06,59,20,13.8,few clouds
157,Plouzane,FR,48.3833,-4.6167,53.65,88,0,8.05,clear sky
158,Torbay,CA,47.6666,-52.7314,42.58,62,75,18.41,broken clouds
159,Ribeira Grande,PT,38.5167,-28.7,63.0,63,20,6.91,few clouds
160,Port Elizabeth,ZA,-33.918,25.5701,60.31,79,100,4.61,overcast clouds
161,Nybro,SE,56.7446,15.9071,46.04,96,33,4.12,scattered clouds
162,Bengkulu,ID,-3.8004,102.2655,77.11,83,100,0.74,light rain
163,Ilulissat,GL,69.2167,-51.1,28.42,54,0,5.75,clear sky
164,Anadyr,RU,64.75,177.4833,32.5,74,0,13.42,clear sky
165,Puerto Narino,CO,-3.7703,-70.3831,73.9,97,100,1.95,overcast clouds
166,Northam,GB,51.0333,-4.2167,55.38,85,100,2.06,overcast clouds
167,Puerto Del Rosario,ES,28.5004,-13.8627,69.55,78,0,13.8,clear sky
168,Tete,MZ,-16.1564,33.5867,69.89,78,0,0.0,clear sky
169,Goundam,ML,16.4145,-3.6708,95.22,16,97,0.43,overcast clouds
170,Airai,TL,-8.9266,125.4092,60.06,96,52,4.81,broken clouds
