City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
204,Biak,ID,76.91,overcast clouds,-0.9131,122.8766,Penginapan Kim
205,Singaraja,ID,80.44,scattered clouds,-8.112,115.0882,Puri Bagus Lovina Resort
208,Riyadh,SA,78.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
210,Kochi,IN,78.78,broken clouds,9.9399,76.2602,Trident Hotel Cochin
211,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
215,Fonte Boa,BR,78.28,overcast clouds,-2.4959,-66.2662,
216,Choctaw,US,84.74,clear sky,35.4976,-97.2689,Woodland Hills Mobile Home Prk
219,Adre,TD,83.53,overcast clouds,13.4667,22.2,
227,Hambantota,LK,80.6,overcast clouds,6.1241,81.1185,Bungalow 63
229,Gbongan,NG,75.61,overcast clouds,7.4667,4.35,Aderemi Guest Garden
233,Odweyne,SO,78.84,scattered clouds,9.4092,45.064,Eng Hiirey House
234,The Valley,AI,82.54,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
236,Poso,ID,78.6,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
242,Yenagoa,NG,78.01,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
244,Buraydah,SA,77.45,clear sky,26.326,43.975,Mövenpick Qassim
246,Taua,BR,82.85,overcast clouds,-5.9667,-40.3,Chácara Paraíso
249,Remanso,BR,82.18,clear sky,-9.6179,-42.0831,Hotel Mangueira
258,Boca Do Acre,BR,81.41,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
260,Isangel,VU,76.62,clear sky,-19.55,169.2667,Tanna Lodge
264,Grand-Lahou,CI,81.18,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
267,Nagua,DO,88.11,few clouds,19.3832,-69.8474,Hotel Cambri
276,Nioro,GM,85.68,clear sky,13.35,-15.75,
280,Khairagarh,IN,87.6,clear sky,26.95,77.8167,Saleem Bhai Fruit Co.
281,Rincon,US,80.56,broken clouds,32.296,-81.2354,Days Inn Rincon
283,El Tigre,VE,80.13,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
287,Sinjai,ID,76.26,moderate rain,-5.1241,120.253,Wisma Sandika
288,North Myrtle Beach,US,79.11,few clouds,33.816,-78.68,Avista Resort
290,Itoman,JP,75.97,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
293,Catuday,PH,81.01,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
296,Sola,VU,81.63,clear sky,-13.8833,167.55,Leumerus Bungalows
298,Limoeiro Do Ajuru,BR,78.66,heavy intensity rain,-1.8953,-49.3806,Hotel Dalva
302,Manokwari,ID,79.27,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
307,Hobyo,SO,82.78,light rain,5.3505,48.5268,Iftin hotel hobyo
310,Umm Lajj,SA,76.69,clear sky,25.0213,37.2685,Moon light Furnished Units
312,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
313,Lorengau,PG,82.47,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
314,Mandawar,IN,81.63,clear sky,29.5,78.1333,Taj Hotel
316,Mount Pleasant,US,78.01,overcast clouds,32.7941,-79.8626,Best Western Patriots Point
317,Bima,ID,77.2,scattered clouds,-8.4667,118.7167,Lambitu Hotel
320,Santa Maria Da Boa Vista,BR,82.04,broken clouds,-8.8078,-39.8256,Fênix Hotel e Restaurante
327,Kismayo,SO,80.22,light rain,-0.3582,42.5454,Agan-Hotel
328,Kavieng,PG,82.74,broken clouds,-2.5744,150.7967,Nusa Island Retreat
338,Ipixuna,BR,76.62,very heavy rain,-1.7625,-48.8043,Chalé do Mato
340,Hai Duong,VN,77.0,overcast clouds,20.9333,106.3167,Hai Khanh Hotel
343,Lompoc,US,76.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
348,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Pirineos
349,Bandarbeyla,SO,82.13,scattered clouds,9.4942,50.8122,JABIR HOTEL
356,Honiara,SB,81.19,overcast clouds,-9.4333,159.95,Heritage Park Hotel
363,Ridgecrest,US,87.66,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
364,Arraial Do Cabo,BR,75.16,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
368,Thinadhoo,MV,84.07,broken clouds,0.5333,72.9333,
372,Kutum,SD,79.11,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
374,Bodden Town,KY,86.94,few clouds,19.2833,-81.25,Will T Place
